Name,Latitude,Longitude,Location,Wheelchair,Red,Green
Harlem,41.88706,-87.80486,elevated,TRUE,-1,0
Oak Park,41.886784,-87.794324,elevated,FALSE,-1,1
Ridgeland,41.886784,-87.784628,elevated,FALSE,-1,2
Austin,41.887293,-87.774135,elevated,FALSE,-1,3
Central,41.887389,-87.76565,elevated,TRUE,-1,4
Laramie,41.887163,-87.754986,elevated,TRUE,-1,5
Cicero,41.886519,-87.744698,elevated,TRUE,-1,6
Pulaski,41.885412,-87.725404,elevated,TRUE,-1,7
Conservatory-Central Park Drive,41.884904,-87.716513,elevated,TRUE,-1,8
Kenzie,41.884321,-87.706155,elevated,TRUE,-1,9
California,41.88422,-87.696234,elevated,TRUE,-1,10
Ashland,41.885268,-87.666969,elevated,TRUE,-1,11
Morgan,41.8856,-87.6522,elevated,TRUE,-1,12
Clinton,41.885678,-87.641782,elevated,TRUE,-1,13
Clark/Lake,41.885767,-87.630885,elevated,TRUE,-1,14
State/Lake,41.88574,-87.627835,elevated,FALSE,-1,15
Washington/Wabash,41.8829,-87.626205,elevated,TRUE,-1,16
Adams/Wabash,41.884431,-87.6261,elevated,FALSE,-1,17
Roosevelt,41.867368,-87.627402,elevated/subway,TRUE,23,18
Cermak-McCormick,41.8531548,-87.626423,elevated,TRUE,-1,19
35th-Bronzeville-IIT,41.831677,-87.625826,elevated,TRUE,-1,20
Indiana,41.821732,-87.621371,elevated,TRUE,-1,21
43rd,41.816462,-87.619021,elevated,TRUE,-1,22
47th,41.8094,-87.61909,elevated,TRUE,-1,23
51st,41.8022,-87.61903,elevated,TRUE,-1,24
Garfield,41.79454,-87.61835,elevated,TRUE,-1,25
Halsted,41.77954,-87.64468,elevated,TRUE,-1,26
Ashland/63rd,41.77943,-87.66393,elevated,TRUE,-1,27
47th,41.810318,-87.63094,surface,TRUE,26,-1
63rd,41.780536,-87.630952,surface,TRUE,28,-1
69th,41.768367,-87.625724,surface,TRUE,29,-1
79th,41.750419,-87.625112,surface,TRUE,30,-1
87th,41.735372,-87.624717,surface,TRUE,31,-1
95th/Dan Ryan,41.722377,-87.624342,surface,TRUE,32,-1
Addison,41.947428,-87.653626,elevated,TRUE,12,-1
Argyle,41.973453,-87.65853,embankment,FALSE,8,-1
Belmont,41.939751,-87.65338,elevated,TRUE,13,-1
Berwyn,41.977984,-87.658668,embankment,FALSE,7,-1
Bryn Mawr,41.983504,-87.65884,embankment,FALSE,6,-1
Cermak-Chinatown,41.853206,-87.630968,elevated,TRUE,24,-1
Chicago,41.896671,-87.628176,subway,TRUE,17,-1
Clark/Division,41.90392,-87.631412,subway,TRUE,16,-1
Fullerton,41.925051,-87.62866,elevated,TRUE,14,-1
Garfield,41.79542,-87.631157,surface,TRUE,27,-1
Grand,41.891665,-87.628021,subway,TRUE,18,-1
Granville,41.993664,-87.659202,embankment,TRUE,4,-1
Harrison,41.874039,-87.627479,subway,FALSE,22,-1
Howard,42.019063,-87.672892,embankment,TRUE,0,-1
Jackson,41.878153,-87.627596,subway,TRUE,21,-1
Jarvis,42.015876,-87.669092,embankment,FALSE,1,-1
Lake,41.884809,-87.627813,subway,TRUE,19,-1
Lawrence,41.969139,-87.658493,embankment,FALSE,9,-1
Loyola,42.001073,-87.661061,embankment,TRUE,3,-1
Monroe,41.880745,-87.627696,subway,FALSE,20,-1
Morse,42.008362,-87.665909,embankment,FALSE,2,-1
North/Clybourn,41.910655,-87.649177,subway,FALSE,15,-1
Sheridan,41.953775,-87.654929,elevated,FALSE,11,-1
Sox-35th,41.831191,-87.630636,surface,TRUE,25,-1
Thorndale,41.990259,-87.659076,embankment,FALSE,5,-1
Wilson,41.964273,-87.657588,elevated,FALSE,10,-1
